id,질문,예상답변,정답
806,영국에서 소해면상뇌증이 처음 발생한 날짜는 언제인가요?,영국에서 소해면상뇌증이 처음 발생한 정확한 날짜에 대해서는 명확히 기록된 정보가 부족합니다. 초기 발생 시점에 대한 구체적인 날짜는 확인되지 않았습니다.,2023년 2월 27일
807,캐나다에서 2023년 9월 7일에 최초 발생한 H5N1 조류 인플루엔자의 감염 건수는 몇 건인가요?,2023년 9월 7일 캐나다에서 최초로 발생한 H5N1 조류 인플루엔자의 정확한 감염 건수에 대한 실시간 데이터는 공개되지 않았습니다. 공식 발표를 통해 확인하시는 것이 가장 정확합니다.,46734건
808,캐나다에서 H5N1 조류 인플루엔자가 처음 발생한 날짜는 언제인가요?,캐나다에서 H5N1 조류 인플루엔자가 처음으로 확인된 날짜는 2004년 9월입니다.,2023년 9월 7일입니다.
809,Wow Factor Desserts Berry Burst Slab Cake의 회수 사유는 무엇인가요?,"Wow Factor Desserts Berry Burst Slab Cake의 회수 사유에 대한 구체적인 정보가 제공되지 않았습니다. 일반적으로 회수 사유는 제품의 품질 문제, 유통기한 초과, 또는 안전 문제 등이 될 수 있습니다. 정확한 사유를 알고 싶으시다면 제조사나 판매처에 문의하시는 것이 좋습니다.",노로바이러스 오염 가능성
810,덴마크 Agustson사의 훈제 무지개 송어 필렛 제품으로 인해 몇 명이 사망했나요?,덴마크 Agustson사의 훈제 무지개 송어 필렛 제품으로 인한 식중독 사망 사례의 정확한 숫자는 공개된 자료에서 명확히 확인되지 않았습니다. 정확한 사망자 수에 대한 정보가 제한적입니다.,3명이 사망했음.
811,루마니아에서 H5N1 조류 인플루엔자가 처음 발생한 날짜는 언제인가요?,"루마니아에서 H5N1 조류 인플루엔자가 처음 발생한 정확한 날짜에 대한 공식 기록은 명확하지 않으나, 유럽에서의 첫 번째 사례는 2005년경으로 알려져 있습니다. 정확한 날짜 확인은 지역 보건 기록에 따라 다를 수 있습니다.",2023년 1월 26일입니다.
812,Coles 슈퍼마켓에서 병아리콩 캔 제품에서 새끼 쥐가 발견된 이유는 무엇인가?,위생 관리 미흡이나 생산 공정 중의 오염이 원인일 수 있습니다.,해당 문서에 없음
813,Matiz Piparra Peppers의 회수 사유는 무엇인가요?,"Matiz Piparra Peppers의 회수 사유에 대한 구체적인 정보가 제공되지 않았습니다. 일반적으로 회수 사유는 제품의 안전성 문제, 품질 미달, 또는 규정 위반 등이 될 수 있습니다. 정확한 사유를 알고 싶으시다면 제조사나 관련 당국에 문의하시는 것이 좋습니다.",용기 내 유리 이물 발견
814,호주 Kin Fertility Pty Ltd의 The Prenatal 캡슐이 회수되는 이유는 무엇인가요?,호주 Kin Fertility Pty Ltd의 The Prenatal 캡슐이 회수되는 이유는 해당 제품이 중금속 오염으로 인해 안전성 문제가 발견되었기 때문입니다.,"캡슐의 누출, 침투 또는 얼룩 보고가 있기 때문입니다."
815,BODYARMOR SportWater 제품이 회수된 이유는 무엇인가요?,BODYARMOR SportWater 제품은 유통기한 내에서도 미생물 오염 우려로 인해 회수되었습니다.,플라스틱 이물 혼입 가능성으로 인해 회수되었습니다.
816,Arroyabe Bonito Flakes White Meat Tuna Flakes in Oil 제품의 회수 사유는 무엇인가요?,제품 회수 사유는 구체적으로 제공된 정보 없이 정확히 답변 드리기 어렵습니다. 해당 제품의 공식 발표나 제조업체의 공지사항을 확인해 주시기 바랍니다.,이물(건조 생선 가시) 혼입으로 인해 회수되었습니다.
817,Tesco British Cooking Salt의 회수 이유는 무엇인가요?,"Tesco British Cooking Salt의 회수 이유에 대한 구체적인 정보가 제공되지 않았습니다. 일반적으로 식품 회수는 안전 문제, 품질 이슈, 또는 규정 위반과 관련이 있으나, 해당 제품의 특정 회수 사유를 확인하려면 공식 발표나 관련 뉴스를 참조해야 합니다.",작은 플라스틱 조각 혼입 가능성
818,"United Packers, LLC가 회수하는 제품 중 Sprite의 유통기한은 언제인가요?","주어진 정보로는 United Packers, LLC가 회수하는 Sprite 제품의 정확한 유통기한을 특정할 수 없습니다. 회수 제품의 유통기한은 개별 케이스마다 다를 수 있습니다.",07/29/24
819,Trader Joe's Almond Windmill Cookies와 Trader Joe's Dark Chocolate Chunk and Almond Cookies가 회수된 이유는 무엇인가요?,"Trader Joe's Almond Windmill Cookies와 Dark Chocolate Chunk and Almond Cookies는 제품 리콜을 경험했지만, 구체적인 회수 이유에 대한 공개 정보는 제한적입니다. 일반적으로 리콜은 식중독균 문제나 라벨링 오류 등으로 인해 발생할 수 있습니다만, 이 경우에 대한 정확한 이유는 확인되지 않았습니다. 정확한 이유는 해당 회사의 공식 발표를 참고하시는 것이 가장 좋습니다.",돌 이물 혼입으로 인해 회수되었습니다.
820,Sunrise Poultry Processors Ltd.가 회수하는 칠면조의 유통지역은 어디인가요?,Sunrise Poultry Processors Ltd.의 칠면조 유통지역 정보는 공개 자료에 명시되어 있지 않습니다.,"캐나다 Alberta, British Columbia, Manitoba, Saskatchewan"
821,Trader Joe’s Multigrain Crackers with Sunflower and Flax Seeds의 회수 사유는 무엇인가요?,"회수 사유는 명시되지 않았지만, 일반적으로 식품 안전 문제나 제조 과정에서의 품질 이슈로 인해 이루어질 수 있습니다. 정확한 사유는 공식 발표를 통해 확인해야 합니다.",금속 혼입 가능성
822,Post Spoon Sized Shredded Wheat Original 시리얼의 회수 사유는 무엇인가요?,Post Spoon Sized Shredded Wheat Original 시리얼의 회수 사유에 대한 구체적인 정보가 공개되지 않았습니다. 추가 정보가 필요합니다.,부패 가능
823,Madras Curry Powder의 회수 이유는 무엇인가요?,Madras Curry Powder의 회수 이유는 구체적인 정보 없이 명확하게 답변 드리기 어렵습니다. 일반적으로는 제품의 안전성 문제나 품질 기준 미충족 등이 원인이 될 수 있습니다. 더 정확한 이유를 알고 싶으시다면 해당 제조사나 관리 기관에 문의하시는 것이 좋습니다.,미표시된 알레르기 유발성분 땅콩 함유
824,프랑스에서 '프로바이오틱' 용어 사용이 허용되는 조건은 무엇인가?,"프랑스에서는 식품 보충제에 대해 '프로바이오틱'이라는 용어 사용이 허용되려면 해당 제품이 과학적으로 입증된 건강상의 이점을 가지고 있어야 하며, 관련 정보가 명확하게 표시되어 있어야 합니다.",프랑스에서는 1일 복용량당 살아있는 최소 세포 수 등 특정 조건을 만족하는 식이보충제에 한해 '프로바이오틱' 용어를 '장내 미생물 균형에 기여한다'는 표현과 함께 사용하도록 하고 있다.
825,United Dairy Farmers - Holiday Nogg 제품의 회수 이유는 무엇인가요?,"소비자의 건강 문제와 관련된 구체적인 정보 없이 정확한 회수 이유를 제공하기 어렵습니다. 해당 제품 회수에 대한 공식 발표나 공지를 확인해 주시기 바랍니다. 일반적으로 식품 회수는 식중독 균 오염 등 때문입니다만, 정확한 이유는 공식 발표를 통해 확인 가능합니다.",알레르기 유발물질 달걀 미표시
826,Sun Hing Trading Ltd.에서 회수하는 Fish Maw 제품의 포장일자는 언제인가요?,Sun Hing Trading Ltd.에서 제공하는 특정 Fish Maw 제품의 포장일자에 대한 정보는 공개 자료에서 명확히 확인되지 않았습니다. 정확한 날짜를 알고 싶으시다면 회사에 직접 문의하시는 것이 좋습니다.,2023년 2월 16일입니다.
827,Wegman's Organics Sweet Kale Chopped Salad Kit의 회수 이유는 무엇인가요?,Wegman's Organics Sweet Kale Chopped Salad Kit의 회수 이유는 알려져 있지 않습니다. 정확한 정보를 위해서는 공식 발표나 관련 기관의 공지사항을 확인하시기 바랍니다.,알레르기 유발물질 달걀 미표시
828,Signature Select Oat Nuts Bread의 회수 사유는 무엇인가요?,Signature Select Oat Nuts Bread의 회수 사유는 유통기한 경과로 인한 세균학적 위험 가능성이 있습니다.,"교차오염으로 인한 알레르기 유발물질 나무견과(아몬드, 캐슈) 미표시"
829,영국 의회에서 초가공식품에 대해 어떤 우려를 제기했나요?,영국 의회는 초가공식품이 건강에 미치는 부정적 영향과 과도한 소비가 비만과 만성 질환 증가와 연관된다는 우려를 제기했습니다.,"영국 의회에서는 초가공식품이 매우 중독성이 있으며, 건강에 미치는 영향에 대한 우려가 제기되었고, 이러한 식품 포장에 건강 경고 표시가 고려되어야 한다고 주장했습니다."
830,Pracmed Healthcare Pty Ltd는 어떤 이유로 벌금을 부과받았나요?,Pracmed Healthcare Pty Ltd가 벌금을 부과받은 특정한 이유에 대한 정보가 제공되지 않았습니다. 정확한 사유를 알려드리려면 관련 뉴스 기사나 공식 발표 내용이 필요합니다.,"Pracmed Healthcare Pty Ltd는 보충 의약품을 불법으로 광고하여, 특히 자사 제품을 사용하지 않으면 해로운 결과가 있을 수 있다고 암시하고, ARTG에 포함되지 않은 제품에 대해 치료와 관련된 주장을 했다는 혐의로 벌금을 부과받았습니다."
831,"Lipari Foods Operating Company, LLC.가 회수하는 IO Inspired Organics Organic Raw Walnuts의 회수 사유는 무엇인가?",회수 사유는 제품에서 금속성 이물질이 검출되었기 때문입니다.,알레르기 유발물질 캐슈 미표시
832,Bertie's Bakery에서 회수한 제품의 유통기한은 언제까지인가요?,유통기한 정보는 공개되지 않았습니다.,17/09/24까지의 모든 제품
833,Swisse Ultiboost Relax Sleep의 회수 조치 시행일은 언제인가요?,회수 조치 시행일에 대한 구체적인 정보가 제공되지 않았습니다. 제품의 공식 웹사이트나 고객 서비스에 문의하시는 것이 좋습니다.,2023년 12월 20일
834,여름 휴가를 대비해 미국 농무부가 권장하는 식품 안전 팁은 무엇인가?,"미국 농무부는 여름 휴가 시 식중독을 예방하기 위해 냉장 보관 식품은 충분히 시원한 곳에 두고, 날 음식과 조리된 음식을 분리하여 취급하며, 손 씻기를 강조합니다.","미국 농무부는 여름 휴가를 대비해 위험 온도(40F~140F)에서의 식품 보관을 지양하고, 도로에서의 식품 안전을 위해 쿨러를 준비하며, 캠핑이나 백패킹 시 실온 보관 제품을 준비하고, 손을 씻을 것을 권장했다."
835,Florida Gold Foods LLC가 위반한 주요 규정은 무엇인가요?,Florida Gold Foods LLC가 위반한 주요 규정은 식품 안전과 라벨링 규정입니다. 특히 제품에 포함된 가공육의 성분 표시에 대한 투명성 부족이 문제가 되었습니다.,"현행우수제조관리기준(cGMP) 위반, 위해요소 분석 위반, 위해 기반 예방 통제 관련 위반입니다."
836,캐나다에서 영아용 조제식을 판매하려면 어떤 절차를 따라야 하나요?,캐나다에서 영아용 조제식 판매를 위해서는 식품검사청(CFIA)의 승인과 캐나다 보건부의 규정 준수를 포함한 제품 등록 절차를 완료해야 합니다.,캐나다에서 영아용 조제식을 판매하려면 캐나다 연방보건부에 시판 전 제출물을 보내야 합니다.
837,The Cocktail Geeks Ltd가 회수하는 칵테일 제품의 이름은 무엇인가요?,Cocktail Geeks Ltd에서 회수하는 칵테일 제품의 정확한 이름은 공개 자료에서 명확히 확인되지 않습니다. 특정 제품 이름을 지정하기 위해서는 더 구체적인 정보가 필요합니다.,"My Precious, Order 66, Sorting Potion, Hellfire, Dracarys, Friendly Neighbourhood 칵테일 캔"
838,노바스코샤 주의 굴 양식이 중단된 이유는 무엇인가?,노바스코샤 주의 굴 양식이 중단된 주된 이유는 해양 오염과 질병으로 인한 굴의 대량 폐사 사건 때문입니다.,노바스코샤 주의 동부와 중부 지역에 내린 폭우로 인해 유거수가 바다로 흘러 들어가 물이 오염되었기 때문입니다.
