id,질문,예상답변,정답,제목,gold문서
903,Scrumptious brand Sesame Seeds의 회수 사유는 무엇인가요?,Scrumptious brand Sesame Seeds의 회수 사유는 살모넬라 오염 가능성 때문입니다.,살모넬라 오염 가능성,"[회수]뉴질랜드 International Foods Ltd, 살모넬라 오염 가능성으로 인도산 참깨 회수","[회수]뉴질랜드 International Foods Ltd, 살모넬라 오염 가능성으로 인도산 참깨 회수 -일자: 2024-07-19-유통지역: 뉴질랜드 Waiheke, 4 Putiki Rd, Waiheke Island, Auckland 소재 RAW 매장. 354b Church Street, Penrose, Auckland 소재 International Foods 매장. 재수출 되지 않음.-회수사: International Foods Ltd-제품명: Scrumptious brand Sesame Seeds (250g). Best Bef..."
904,2023년 네덜란드에서 살모넬라증 발병 원인은 무엇인가?,2023년 네덜란드에서 살모넬라증 발병 원인은 산란계 농장에서 생산된 계란과 충분히 숙성되지 않은 건조 소시지였음.,살모넬라증 2건의 발생 원인은 산란계 농장에서 생산된 계란과 충분히 숙성되지 않은 건조 소시지로 확인되었음.,"네덜란드 국립보건환경연구원, 식중독 발생 건수 전년 대비 증가...특히 살모넬라증 증가해","네덜란드 국립보건환경연구원, 식중독 발생 건수 전년 대비 증가...특히 살모넬라증 증가해 네덜란드 국립보건환경연구원(RIVM)의 연례 보고서(*)에 따르면, 2023년 네덜란드에서 병원균으로 인한 식중독은 대부분 전년 대비 증가했으며, 특히 살모넬라증 발병 건수는 150건을 기록했음. 위장병 환자 수는 COVID-10 팬데믹 이전과 비슷했으나, 이질, 시가 독소 생성 대장균(STEC), 노로바이러스, 작은와포자충, 렙토스피라 감염 건수는 많았음.  캠필로박터 감염증(1건), 살모넬라증(4건), STEC 감염증(1건)에 대해 조사한 ..."
905,일본에서 H5N1 조류 인플루엔자가 처음 발생한 날짜는 언제인가요?,일본에서 H5N1 조류 인플루엔자가 처음 발생한 날짜는 2024년 10월 16일입니다.,2024년 10월 16일입니다.,"세계동물보건기구, 고병원성 조류 인플루엔자 동물 감염 현황(10.21)","세계동물보건기구, 고병원성 조류 인플루엔자 동물 감염 현황(10.21) 1. 일본, H5N1 (후속보고 1) - 최초발생일: 2024.10.16 - 발생보고일: 2024.10.21 - 발생규모(가금류): 의심19901건, 감염120건, 폐사120건, 살처분19781건, 도축-건 - 기타: 진행형이며, 추후 보고가 제출될 예정 - 원문: https://wahis.woah.org/#/in-review/5966 2. 폴란드, H5N1 (후속보고 3) - 최초발생일: 2024.10.5 - 발생보고일: 2024.10.21 - 발생규모(가금류..."
906,Jim's Jerseys 원유의 유통기한은 언제인가요?,해당 문서에 없음.,8/23,"[회수]미국 Old Silvana Creamery, 대장균 오염 가능성으로 원유 회수","[회수]미국 Old Silvana Creamery, 대장균 오염 가능성으로 원유 회수 -일자: 2024.08.27.-유통지역: 미국 Western Washington-회수사: Old Silvana Creamery-제품명: Jim's Jerseys raw milk. best buy date: 8/23.  ½ gallon 및 gallon 용기로 판매됨.-회수사유: 대장균 오염 가능성-제품사진: --기타: 동 제품과 관련하여 현재까지 보고된 질병사례 없음...."
907,2023년 스웨덴에서 가장 큰 규모의 살모넬라 발병 원인은 무엇인가?,스웨덴의 가장 큰 양계 시설인 CA Cedergren(사)에서 생산한 계란이 2023년 스웨덴에서 가장 큰 규모의 살모넬라 발병 원인임.,스웨덴의 가장 큰 양계 시설인 CA Cedergren(사)가 생산한 계란이 원인이다.,"스웨덴 보건당국, 2023년 병원성 미생물 감염 통계 발표... 살모넬라 발병 등","스웨덴 보건당국, 2023년 병원성 미생물 감염 통계 발표... 살모넬라 발병 등 미국 언론 Food Safety News에 따르면, 스웨덴 보건당국이 발표한 2023년 병원성 미생물 감염 통계 중 큰 규모의 살모넬라 발병 등이 확인되었음.  2023년 총 1,316건의 살모넬라 감염이 보고되었으며(비교: 2022년 1,137건), 이중 절반 이상이 태국, 튀르키예 등 해외에서 감염되었음. 10건 이상의 사례가 보고된 발병은 총 3건으로, 그중 1건은 82명의 사람들에게 영향을 미쳤고 스웨덴의 가장 큰 양계 시설인 CA Cederg..."
908,Apple Wedge LLC가 회수하는 애플사이다의 파튤린 검출량은 얼마인가?,Apple Wedge LLC가 회수하는 애플사이다의 파튤린 검출량은 78ppb입니다.,78ppb,"[E/R]미국 Apple Wedge LLC, 높은 수준의 파튤린으로 애플사이다 회수","[E/R]미국 Apple Wedge LLC, 높은 수준의 파튤린으로 애플사이다 회수 -지역: 미국 GA, NC, SC, FL-제품명:1) 100% CIDER Pasteurized APPLE WEDGE CIDER 1 Gal. (3.78L) HENDERSONVILLE, NC 28792 냉장보관(Keep Refrigerated), 방부제용 소르빈산칼륨(Potassium Sorbate) 0.1% 함유. UPC 0 36482 12800 0>C3419 SELL BY 12/09/20242) Cinnamon Pasteurized APPLE WED..."
909,Henderson Dairy의 Farm Fresh Raw Milk가 회수된 이유는 무엇인가요?,Henderson Dairy의 Farm Fresh Raw Milk가 회수된 이유는 리스테리아 오염 가능성 때문입니다.,리스테리아 오염 가능성으로 인해 회수되었습니다.,"[회수]뉴질랜드 Henderson Dairy, 리스테리아 오염 가능성으로 원유 회수","[회수]뉴질랜드 Henderson Dairy, 리스테리아 오염 가능성으로 원유 회수 -일자: 2024-07-29-유통지역: 뉴질랜드 Henderson Dairy, 926 Waipahi Highway, RD 1, Gore 9771에서 판매됨-회수사: Henderson Dairy-제품명: Henderson Dairy brand Farm Fresh Raw Milk (unpasteurised) 1 Litre>배치 및 일자: Batch 240724 소비기한(Use by) 280724. Batch 260724 Use by 300724.>1리터..."
910,Fresh Express Incorpated가 회수하는 샐러드 키트의 회수 사유는 무엇인가요?,리스테리아 모노사이토제네스 오염 가능성입니다.,리스테리아 모노사이토제네스 오염 가능성 때문입니다.,"[E/R]미국 Fresh Express Incorpated, 리스테리아 오염 가능성으로 샐러드 키트 회수","[E/R]미국 Fresh Express Incorpated, 리스테리아 오염 가능성으로 샐러드 키트 회수 -지역: 미국 AL, FL, GA, CA, UT, WA; 캐나다-회수사: Fresh Express Incorpated (회수중, 회수일: 2/8/2024)-회수사유: 리스테리아 모노사이토제네스 오염 가능성. 샐러드 키트의 양념 팩에는 회수된 치즈가 들어있음.-제품명: 1) Chopped Salad Kit Southwest with condiments(toppings that include cheese), salad bag 표시(..."
911,Pattison Food Group가 회수한 제품의 유통지역은 어디인가요?,"캐나다 Alberta, British Columbia입니다.","캐나다 Alberta, British Columbia","[회수]캐나다 Pattison Food Group, 살모넬라 오염된 그래놀라 함유로 파르페 회수","[회수]캐나다 Pattison Food Group, 살모넬라 오염된 그래놀라 함유로 파르페 회수 * 관련 기수집 정보: [회수]캐나다 Quaker Canada, 살모넬라 오염 가능성으로 그래놀라 바 등 회수(수집일자: 2024-01-12) -최초 발표 일자: 2024-1-15 (최신 업데이트 일자: 2024-1-15)-유통지역 : 캐나다 Alberta, British Columbia-제품정보 : 브랜드; 제품; 크기; UPC; 코드1) Urban Fare; UF Chia Tropical Fruit Parfait; ~385 g; 0 ..."
912,Sprouts Chicken Street Taco의 회수 이유는 무엇인가요?,Sprouts Chicken Street Taco의 회수 이유는 리스테리아 오염으로 인한 것입니다. 해당 문서에 없음.,리스테리아 오염으로 회수를 개시한 조리된 닭고기가 동 제품에 함유되었음,"[E/R]미국 Sprouts Farmers Market, 리스테리아 오염 가능성 있는 원료 함유로 타코 회수","[E/R]미국 Sprouts Farmers Market, 리스테리아 오염 가능성 있는 원료 함유로 타코 회수 -지역: 미국 CA, CO, AZ, GA, NC, NV, TN, UT, FL, LA, NM, MO, OK, DE, MD, PA, NJ-제품명: Sprouts Chicken Street Taco, 6 taco, 냉장보관. 상할 가능성 있음, 플라스틱 뚜껑이 있는 플라스틱 트레이에 포장됨, Net wt of 1.5lbs, UPC 205916813991. Sell by dates: 9/2/2024 ~ 11/7/2024.-회수사: ..."
913,Lacuna Pharma Pty Ltd가 회수하는 K-Citra 10 Tablets의 올바른 칼륨 당량은 얼마인가?,올바른 칼륨 당량은 390.6 mg입니다.,390.6 mg,"[회수]호주 Lacuna Pharma Pty Ltd, 원재료 함량 오타로 구연산칼륨 회수","[회수]호주 Lacuna Pharma Pty Ltd, 원재료 함량 오타로 구연산칼륨 회수 - 일자: 2024.3.27(회수조치시행일)- 제품명 및 설명: K-Citra 10 Tablets Potassium Citrate 1080mg> 배치 번호: 42301133-B> 유통기한 번호(Expiry number): 02/2026> ARTG 405527 (K-Citra 10)- 회수사(Responsible Entity(*)): Lacuna Pharma Pty Ltd * 회수 조치의 책임이 있는 스폰서/공급자/수입자를 나타냄- 회수사유: 배..."
914,Bazzini Raw Almond Butter의 회수 사유는 무엇인가요?,알레르기 유발물질 땅콩이 표시되지 않은 것으로 인해 회수 사유가 발생했습니다.,알레르기 유발물질 땅콩 미표시,"[E/R]미국 Bazzini LLC, 알레르기 유발물질 땅콩 미표시로 아몬드버터 회수","[E/R]미국 Bazzini LLC, 알레르기 유발물질 땅콩 미표시로 아몬드버터 회수 -지역: 미국 NY-제품명: Bazzini Raw Almond Butter Net Wt. 16 oz (454g) UPC Code 7506284009. 케이스당 12병 (Lot code 2E136, Best Before Date: Feb 15, 2025)-회수사: Bazzini LLC (회수중, 회수일: 7/11/2024)-회수사유: 알레르기 유발물질 땅콩 미표시..."
915,"Wegmans Food Markets, Inc.에서 회수하는 Outrageous Oat Cookies의 회수 사유는 무엇인가요?",해당 문서에 없음. 그러나 일반적으로 비슷한 상황에서는 제품에 표시되지 않은 알레르기 유발 물질이 포함되어 있기 때문입니다. 하지만 주어진 정보에서는 구체적인 사유만 명확히 제시되어 있지 않으므로 이와 같이 답변 드립니다.,미표시된 알레르기 유발물질 밀 함유,"[E/R]미국 Wegmans Food Markets, Inc., 미표시된 알레르기 유발물질 밀 함유로 쿠키 회수","[E/R]미국 Wegmans Food Markets, Inc., 미표시된 알레르기 유발물질 밀 함유로 쿠키 회수 -지역: 미국 NY, PA, NJ, MD, MA, VA, NC, DE and DC-제품명: Outrageous Oat Cookies. 5pk 및 Bulk 포장(Outrageous Oat Cookie 5pk UPC: 0-77890-56618-3 Wegmans Cookies by the Lb Outrageous Oat Cookie only UPC: 2-08165-00000-6 2-08256-00000-7)-회수사: Wegma..."
916,Ralph's Packing Company의 회수된 볼로냐 제품은 어떤 알레르기 유발물질을 표시하지 않았나요?,우유,우유,"[회수]미국 Ralph's Packing Company, 오표시 및 알레르기 유발물질 우유 미표시로 볼로냐 회수","[회수]미국 Ralph's Packing Company, 오표시 및 알레르기 유발물질 우유 미표시로 볼로냐 회수 - 일자: 2024.12.20.- 유통지역: 미국 Oklahoma 소재 소매점 및 식품서비스 지점에 배송되었으며, 일부 제품은 소매 델리카운터에서 잘라서 판매되었을 수 있음.- 회수사: Ralph's Packing Company- 제품명: 2022년 9월 이후 생산된 다음의 제품으로, 냉동되었을 수 있음.- 회수사유: 오표시 및 알레르기 유발물질 우유 미표시. 동 제품은 표시되지 않은 알레르기 유발물질 우유를 함유하였을 ..."
917,O'Food Korean Bbq Bulgogi Beef Marinade의 품질유지기한은 언제인가요?,O'Food Korean Bbq Bulgogi Beef Marinade의 품질유지기한은 2025년 4월 16일입니다.,2025.04.16,"[회수]호주 ByAsia Food, 글루텐프리 오표시로 소스류 2종 회수","[회수]호주 ByAsia Food, 글루텐프리 오표시로 소스류 2종 회수 -일자: 2024.05.24-유통지역: 호주 -회수사: HAN YANG IMPORT  EXPORT PTY LTD ('ByAsia Food' 상호 사용)-제품명:▲ O'Food Korean Bbq Bulgogi Beef Marinade 280g (품질유지기한(Best Before): 2025.04.16)▲ O'Food Korean BBQ Spicy Pork Marinade 280g (품질유지기한(Best Before): 2025.03.10)-판매업체: Woolw..."
918,"NRS Enterprises, Inc. dba Sunflour Bakery가 회수하는 케이크의 유통기한은 언제인가요?","각 제품의 유통기한은 다음과 같습니다: 03/08/2024, 03/19/2024, 03/08/2024, 03/08/2024, 03/08/2024, 03/08/2024, 03/08/2024.",03/08/2024 또는 03/19/2024,"[E/R]미국 NRS Enterprises, Inc. dba Sunflour Bakery, 색소첨가물 Yellow #5 미표시 및/또는 알레르기 유발물질 호두 등 미표시로 케이크 7종 회수","[E/R]미국 NRS Enterprises, Inc. dba Sunflour Bakery, 색소첨가물 Yellow #5 미표시 및/또는 알레르기 유발물질 호두 등 미표시로 케이크 7종 회수 -지역: 미국 CA.-회수사: NRS Enterprises, Inc. dba Sunflour Bakery (회수중, 회수일: 3/8/2024)-회수사유: 색소첨가물 Yellow #5 미표시 및/또는 알레르기 유발물질 호두 등 미표시-제품명: 투명한 폴리백에 포장된 다음의 제품 1) German Home Bakery Hazelnut Coffee C..."
919,Johnny's Parmesan Garlic Seasoning 제품의 회수 사유는 무엇인가요?,Johnny's Parmesan Garlic Seasoning 제품의 회수 사유는 알레르기 유발물질인 참깨를 제품 라벨에 미표시했기 때문입니다. 해당 문서에 없음 이라는 답변은 이 질문에 해당하지 않습니다.,알레르기 유발물질인 참깨가 라벨에 표시되지 않았기 때문입니다.,"[E/R]미국 OS Holding Inc, 제품명 오표시로 인한 알레르기 유발물질 참깨 함유로 샐러드 회수","[E/R]미국 OS Holding Inc, 제품명 오표시로 인한 알레르기 유발물질 참깨 함유로 샐러드 회수 -지역: 미국  AK, ID, MT, ND, NV, OR, UT, WA, WY-제품명: 병은 Johnny's Parmesan Garlic Seasoning으로 표시됨, 5oz (141g), 플라스틱 병 포장, 녹색 스파이스 뚜껑(spice cap) >UPC 0 70381 10060 6.  >라벨에 다음 내용 포함 'CONTAINS: MILK. MANUFACTURED IN A FACILITY THAT ALSO PROCESSESS..."
920,뉴질랜드에서 회수된 Baixiang 브랜드 즉석 면류의 회수 사유는 무엇인가요?,회수 사유는 미표시된 알레르기 유발물질 땅콩 함유 때문입니다.,미표시된 알레르기 유발물질 땅콩 함유로 회수되었습니다.,"[회수]뉴질랜드 Kiwi Treasure Trading Limited, 미표시된 알레르기 유발물질 땅콩 함유로 중국산 즉석 면류 회수","[회수]뉴질랜드 Kiwi Treasure Trading Limited, 미표시된 알레르기 유발물질 땅콩 함유로 중국산 즉석 면류 회수 *관련 기수집정보: [회수]캐나다 Five Continents International Ltd., 미표시된 알레르기 유발물질 땅콩 함유로 즉석 면류 회수(수집일자: 2024-07-04) -일자: 2024-07-09-유통지역: 뉴질랜드 전역 특정 아시아 식료품점(Asian Grocery stores) 및 온라인. 동 제품은 재수출되지 않았음.-회수사: Kiwi Treasure Trading Limite..."
